Zip_Rent,CAGR,Restaurant_Number,Restaurant_Avg_Rating,Restaurant_Avg_Review,Gym_Number,Gym_Avg_Rating,Gym_Avg_Review,Cleaning_Number,Cleaning_Avg_Rating,Clenaing_Avg_Review,Grocery_Number,Grocery_Avg_Rating,Grocery_Avg_Review
10030,0.062717,77,3.428571,56.428571,9,4.166667,23.888889,18,2.805556,4.722222,37,2.905405,5.621622
10032,0.06182,60,3.433333,52.233333,13,4.384615,18.846154,35,3.257143,5.514286,51,3,18.823529
10039,0.06561,101,3.381188,61.732673,13,4.384615,31.076923,55,3.063636,5.981818,76,3.25,8.342105
11210,0.06537,53,2.811321,13.358491,6,4.083333,16.5,19,3.868421,5.157895,22,3.704545,2.909091
11213,0.068855,88,3.119318,20.738636,5,4.1,24,28,2.928571,5.5,38,3.223684,16.473684
11219,0.061849,377,3.614058,31.143236,19,4.526316,8.421053,114,3.289474,5.833333,210,3.761905,15.457143
11221,0.066253,500,3.748,64.996,109,4.536697,16.348624,117,3.282051,11.538462,282,3.494681,14.503546
11228,0.064545,62,3.637097,30.16129,2,5,2,26,3.211538,3.423077,36,3.930556,32.805556
11233,0.065535,300,3.456667,39.686667,32,4.34375,11.53125,98,2.816327,7.295918,183,3.527322,8.202186
11366,0.062345,125,3.456,45.416,49,4.5,20.612245,43,3.22093,12.27907,76,3.282895,27.723684
