is_closed,name,price,rating,review_count,categories,id
False,Sacred Studio,,4.5,122,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'dancestudio', 'title': 'Dance Studios'}, {'alias': 'acupuncture', 'title': 'Acupuncture'}]",m6iFADo3nqd3S3jITLjo_g
False,Melt Massage & Bodywork,,5.0,88,"[{'alias': 'pilates', 'title': 'Pilates'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]",LH7xjdkaeNDogmywjl7xFQ
False,CrossFit Outbreak  - Clinton Hill,,5.0,43,"[{'alias': 'intervaltraininggyms', 'title': 'Interval Training Gyms'}]",olDJq24FXYRibc6b1c1LMA
False,Fort Greene Park,,4.0,94,"[{'alias': 'parks', 'title': 'Parks'}]",Ln-QAVnWimj9WbtPNcH2nQ
False,Clinton Hill Martial Arts & Fitness,,5.0,23,"[{'alias': 'taekwondo', 'title': 'Taekwondo'}, {'alias': 'kickboxing', 'title': 'Kickboxing'}]",YJ182f2el3rrgYpmG1AcWg
False,CKO Kickboxing Clinton Hill,,4.5,23,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'boxing', 'title': 'Boxing'}]",WxoLYQUrDPE_dV4tAbpt-w
False,Move With Grace,,4.5,34,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'pilates', 'title': 'Pilates'}]",ZSIFK0NEjySpLrQ_GZX3PA
False,MovEvolution Physical Therapy,,5.0,23,"[{'alias': 'physicaltherapy', 'title': 'Physical Therapy'}, {'alias': 'pilates', 'title': 'Pilates'}, {'alias': 'yoga', 'title': 'Yoga'}]",8K26qDnPvXWUklqLra7DaA
False,Dou Yoga,,4.0,36,"[{'alias': 'yoga', 'title': 'Yoga'}]",S0KhMlyWvrQmd-0eZ7acrA
False,Bedford-Stuyvesant Branch YMCA,,3.5,87,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'childcare', 'title': 'Child Care & Day Care'}]",t4P99UqsmNJJlrPOAwKbcg
False,Brooklyn Brazilian Jiu-Jitsu,,3.5,18,"[{'alias': 'brazilianjiujitsu', 'title': 'Brazilian Jiu-jitsu'}]",pdhK0bQCORuk4Rld_nKNsw
False,Crunch - Ft. Greene,,2.5,126,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'yoga', 'title': 'Yoga'}]",WpqIpFsYiV0EMFRFQNjftg
False,Greys Gym,,5.0,13,"[{'alias': 'gyms', 'title': 'Gyms'}]",5-lxpusTcL7mDzYAgzme2Q
False,Len3a,,5.0,8,"[{'alias': 'healthtrainers', 'title': 'Trainers'}]",egg-zFmHmbwHpDCwy3RZ0Q
False,Mark Darco Fitness,,5.0,13,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'boxing', 'title': 'Boxing'}]",eEJnhgyhaUOn1NbsF1Ts1w
