ZIP_code,ReviewCount,BizCount,AvgReviewCount,sq_miles,BizPerSqMile,Category,1-Dollar,2-Dollar,3-Dollar,4-Dollar
10004,67702,1909,35.464641,0.56,3408.928571,rent_AV_top_5,193,310,67,28
10011,885456,10314,85.849913,0.7,14734.28571,rent_AV_top_5,770,2696,961,232
10014,645929,7114,90.796879,0.57,12480.70175,rent_AV_top_5,628,2037,835,201
10030,21307,695,30.657554,0.28,2482.142857,rent_CAGR_top_10,134,197,16,1
10032,20560,886,23.205418,0.66,1342.424242,rent_CAGR_top_10,174,156,8,10
10039,27507,1242,22.147343,0.46,2700,rent_CAGR_top_10,232,278,27,7
10065,351143,7201,48.763088,0.39,18464.10256,rent_AV_top_5,509,1574,862,445
10069,81508,1866,43.6806,0.1,18660,rent_AV_top_5,111,297,176,33
10451,8076,731,11.04788,1.01,723.762376,rent_AV_bottom_5,136,139,13,9
10457,22837,1948,11.723306,1.06,1837.735849,rent_AV_bottom_5,341,354,30,11
10462,220318,10547,20.889163,1.48,7126.351351,rent_AV_bottom_5,1038,1509,202,43
10467,242360,11108,21.818509,2.33,4767.381974,rent_AV_bottom_5,1108,1715,213,42
10469,214951,10141,21.196233,2.48,4089.112903,rent_AV_bottom_5,929,1409,177,45
11210,9347,860,10.868605,1.64,524.390244,rent_CAGR_top_10,87,142,10,4
11213,11040,1052,10.494297,1.09,965.137615,rent_CAGR_top_10,140,211,20,13
11219,63564,4209,15.101924,1.48,2843.918919,rent_CAGR_top_10,816,812,97,24
11221,303675,10918,27.81416,1.38,7911.594203,rent_CAGR_top_10,1201,1826,189,56
11228,12538,807,15.536555,1.47,548.979592,rent_CAGR_top_10,114,156,29,8
11233,47315,3028,15.625826,1.35,2242.962963,rent_CAGR_top_10,534,657,54,18
11366,148664,7154,20.780542,1.09,6563.302752,rent_CAGR_top_10,410,657,93,28
