Zip_Home,CAGR,Bank_Number,Bank_Avg_Rating,Bank_Avg_Review,Autorepair_Number,Autorepair_Avg_Rating,Autorepair _Avg_Review,Chinese_Restaurant_Number,Chinese_Restaurant_Avg_Rating,Chinese_Restaurant_Avg_Review,Total_Review,Total_Business
10026,0.149577,438,3,5.666667,0,3.380952,11.333333,8,3.225,10.875,30691,585
11201,0.183976,43,3.22093,5.232558,3,4.333333,39.333333,23,3.173913,56.217391,145744,3413
11205,0.184401,9,2.333,5.555556,13,3.730769,14.230769,16,3.46875,28.5625,65839,1533
11206,0.148271,5,2.3,6,21,3.380952,11.333333,20,3.225,22.75,63731,1775
11217,0.154551,23,2.456522,7.130435,16,4.3125,23.6875,28,3.321429,57.928571,181571,3429
11221,0.221366,14,2.464286,5.785714,144,3.899306,14.125,92,3.336957,16.934783,303675,10918
11226,0.162394,438,2.665525,5.80137,412,4.162621,19.771845,42,4.095238,525.452381,1751121,18614
11232,0.189997,26,2.576923,5.076923,93,4.043011,12.16129,143,3.444056,125.342657,126597,4580
11233,0.199662,9,2.5,5.111111,44,3.454545,9.386364,67,3.335821,10.223881,47315,3028
11237,0.20691,5,2.4,6.8,15,3.366667,6.6,30,3.383333,19.633333,47354,1605
