Zip_Home_Rent,CAGR,Barbers_number,Barbers_Avg_Rating,Barbers_Avg_Review,Dogcare_Number,Dogcare_Avg_Rating,Dogcare_Avg_Review,Total_Businesses,Total_Reviews
10030,0.079001,8,4,13,10,4.9,11,695,21307
10032,0.077864,13,4.3,3,4,4.9,9,886,20560
10039,0.082675,18,4.1,6,17,4.9,12,1242,27507
11210,0.082369,6,3.8,3,126,4.7,15,860,9347
11213,0.086797,10,4.2,3,24,4.7,18,1052,11040
11219,0.0779,45,4.2,6,14,4.9,15.5,4209,63564
11221,0.083491,97,4.3,30,242,4.6,15,10918,303675
11228,0.081322,10,4,3,0,0,0,807,12538
11233,0.082579,37,4.1,4,52,4.6,18.7,3028,47315
11366,0.078529,25,4.3,15,103,4.6,13.6,7154,148664
,,,,,,,,,
